SUMMER SONIC 2019 TOKYO(8/16),Centuries,フォール・アウト・ボーイ
SUMMER SONIC 2019 TOKYO(8/16),Girls (feat. Cardi B，Bebe Rexha & Charli XCX),Rita Ora
SUMMER SONIC 2019 TOKYO(8/16),セイ・イット・エイント・ソー,ウィーザー
SUMMER SONIC 2019 TOKYO(8/16),ワタリドリ,[Alexandros]
SUMMER SONIC 2019 TOKYO(8/16),やさしさで溢れるように,JUJU
SUMMER SONIC 2019 TOKYO(8/16),栞,クリープハイプ
SUMMER SONIC 2019 TOKYO(8/16),世界はあなたに笑いかけている,Little Glee Monster
SUMMER SONIC 2019 TOKYO(8/16),イッツ・ノット・リヴィング(イフ・イッツ・ノット・ウィズ・ユー),THE 1975
SUMMER SONIC 2019 TOKYO(8/16),JOY,YUKI
SUMMER SONIC 2019 TOKYO(8/16),ストレイシープ,神様、僕は気づいてしまった
SUMMER SONIC 2019 TOKYO(8/16),オールモスト・ラヴ,サブリナ・カーペンター
SUMMER SONIC 2019 TOKYO(8/16),Venus,Bananarama
SUMMER SONIC 2019 TOKYO(8/16),チェイシング・カーズ,スノウ・パトロール
SUMMER SONIC 2019 TOKYO(8/16),Cruel Summer,Bananarama
SUMMER SONIC 2019 TOKYO(8/16),Heal Me,Grace Carter
SUMMER SONIC 2019 TOKYO(8/16),Island In The Sun,Weezer
SUMMER SONIC 2019 TOKYO(8/16),BUBBLE-GUM MAGIC,KEYTALK
SUMMER SONIC 2019 TOKYO(8/16),Dead Boys,サム・フェンダー
SUMMER SONIC 2019 TOKYO(8/16),Summertime,RIRI，KEIJU，小袋成彬
SUMMER SONIC 2019 TOKYO(8/16),Answer feat. KREVA,向井太一
SUMMER SONIC 2019 TOKYO(8/16),Only Want You,Rita Ora
SUMMER SONIC 2019 TOKYO(8/16),Something Good Can Work,Two Door Cinema Club
SUMMER SONIC 2019 TOKYO(8/16),猿上がりシティーポップ,秋山黄色
SUMMER SONIC 2019 TOKYO(8/16),AM11:00 (Rerecorded),HY
SUMMER SONIC 2019 TOKYO(8/16),アルペジオ,[Alexandros]
SUMMER SONIC 2019 TOKYO(8/16),What You Know,Two Door Cinema Club
SUMMER SONIC 2019 TOKYO(8/16),Why Her Not Me,Grace Carter
SUMMER SONIC 2019 TOKYO(8/16),If We Have Each Other,Alec Benjamin
SUMMER SONIC 2019 TOKYO(8/16),Play God,サム・フェンダー
